id,carat,cut,color,clarity,depth,table,x,y,z
193573,0.35,Ideal,D,VS2,62.3,56.0,4.51,4.54,2.82
193574,0.77,Very Good,F,SI2,62.8,56.0,5.83,5.87,3.68
193575,0.71,Ideal,I,VS2,61.9,53.0,5.77,5.74,3.55
193576,0.33,Ideal,G,VVS2,61.6,55.0,4.44,4.42,2.73
193577,1.2,Very Good,I,VS2,62.7,56.0,6.75,6.79,4.24
193578,0.3,Premium,G,VS1,62.7,58.0,4.3,4.25,2.68
193579,1.52,Premium,G,VS2,62.9,59.0,7.31,7.26,4.59
193580,0.72,Very Good,E,VS2,59.2,59.0,5.85,5.88,3.46
193581,2.01,Ideal,I,VS2,65.0,57.0,7.84,7.91,5.15
193582,0.6,Premium,D,SI1,60.0,58.0,5.44,5.5,3.29
193583,1.0,Fair,G,VS2,64.7,60.0,6.22,6.32,4.05
193584,0.31,Ideal,G,VVS1,61.2,55.0,4.37,4.42,2.69
193585,1.01,Premium,E,VS2,61.9,60.0,6.41,6.37,3.96
193586,0.57,Ideal,I,VVS1,62.2,56.0,5.31,5.33,3.3
193587,0.27,Ideal,H,VVS2,62.2,55.0,4.12,4.16,2.59
193588,0.51,Ideal,D,VS2,61.5,55.0,5.13,5.18,3.17
193589,0.4,Premium,F,VS1,59.7,58.0,4.84,4.81,2.88
193590,1.03,Very Good,E,SI2,59.7,60.0,6.51,6.48,3.88
193591,1.01,Very Good,F,VVS2,62.4,56.0,6.43,6.4,4.01
193592,0.52,Premium,G,VVS2,62.3,56.0,5.19,5.14,3.22
193593,0.31,Ideal,H,VS2,61.2,55.0,4.41,4.43,2.7
193594,0.31,Ideal,F,VS2,61.4,57.0,4.36,4.39,2.69
193595,1.5,Very Good,I,SI1,63.0,57.0,7.28,7.24,4.58
193596,1.01,Premium,D,SI1,62.7,58.0,6.38,6.43,4.02
193597,0.91,Ideal,E,SI2,62.1,57.0,6.13,6.19,3.83
193598,0.31,Good,D,SI1,62.4,59.0,4.27,4.29,2.68
193599,0.53,Very Good,F,VVS2,61.9,59.0,5.19,5.22,3.22
193600,0.7,Premium,D,VS2,63.0,60.0,5.67,5.59,3.54
193601,0.72,Ideal,E,SI2,61.3,57.0,5.78,5.82,3.56
193602,0.23,Very Good,E,VVS2,61.9,59.0,3.99,4.03,2.48
193603,0.53,Fair,E,SI1,64.5,61.0,5.08,5.04,3.27
193604,0.35,Ideal,F,VS2,62.2,56.0,4.49,4.52,2.79
193605,1.36,Very Good,F,SI2,61.7,59.0,7.1,7.13,4.4
193606,0.41,Ideal,E,VS2,61.9,54.0,4.82,4.8,2.98
193607,0.31,Very Good,G,SI2,62.4,56.0,4.37,4.41,2.74
193608,0.53,Ideal,G,VS2,61.7,55.0,5.19,5.22,3.22